Source,Target
383498,402900
383498,466282
402900,466282
363088,383498
363088,402900
363088,466282
383498,462919
402900,462919
462919,466282
363088,462919
383498,454983
402900,454983
454983,466282
363088,454983
454983,462919
293660,383498
293660,402900
293660,466282
293660,363088
293660,462919
383498,455980
402900,455980
455980,466282
363088,455980
455980,462919
283995,383498
283995,402900
283995,466282
283995,363088
283995,462919
354912,383498
354912,402900
354912,466282
354912,363088
354912,462919
177572,383498
177572,402900
177572,466282
177572,363088
177572,462919
269149,383498
269149,402900
269149,466282
269149,363088
269149,462919
383498,487558
402900,487558
466282,487558
363088,487558
462919,487558
150540,383498
150540,402900
150540,466282
150540,363088
150540,462919
383498,455207
402900,455207
455207,466282
363088,455207
455207,462919
194662,383498
194662,402900
194662,466282
194662,363088
194662,462919
383498,460668
402900,460668
460668,466282
363088,460668
460668,462919
20352,383498
20352,402900
20352,466282
20352,363088
20352,462919
383498,420814
402900,420814
420814,466282
363088,420814
420814,462919
291805,383498
291805,402900
291805,466282
291805,363088
291805,462919
383498,400155
400155,402900
400155,466282
363088,400155
400155,462919
383498,437557
402900,437557
437557,466282
363088,437557
437557,462919
207703,383498
207703,402900
207703,466282
207703,363088
207703,462919
383498,445571
402900,445571
445571,466282
363088,445571
445571,462919
383498,458423
402900,458423
458423,466282
363088,458423
458423,462919
313369,383498
313369,402900
313369,466282
313369,363088
313369,462919
383498,399174
399174,402900
399174,466282
363088,399174
399174,462919
93456,383498
93456,402900
93456,466282
93456,363088
93456,462919
98566,383498
98566,402900
98566,466282
98566,363088
98566,462919
106646,383498
106646,402900
106646,466282
106646,363088
106646,462919
257344,383498
257344,402900
257344,466282
257344,363088
257344,462919
425,383498
425,402900
425,466282
425,363088
425,462919
585,383498
585,402900
585,466282
585,363088
585,462919
383498,454619
402900,454619
454619,466282
363088,454619
454619,462919
383498,455656
402900,455656
455656,466282
363088,455656
455656,462919
310,383498
310,402900
310,466282
310,363088
310,462919
808,383498
808,402900
808,466282
808,363088
808,462919
383498,474335
402900,474335
466282,474335
363088,474335
462919,474335
18785,383498
18785,402900
18785,466282
18785,363088
18785,462919
383498,449176
402900,449176
449176,466282
363088,449176
449176,462919
340022,383498
340022,402900
340022,466282
340022,363088
340022,462919
257445,383498
257445,402900
257445,466282
257445,363088
257445,462919
339846,383498
339846,402900
339846,466282
339846,363088
339846,462919
62177,383498
62177,402900
62177,466282
62177,363088
62177,462919
335797,383498
335797,402900
335797,466282
335797,363088
335797,462919
353486,383498
353486,402900
353486,466282
353486,363088
353486,462919
270946,383498
270946,402900
270946,466282
270946,363088
270946,462919
224141,383498
224141,402900
224141,466282
224141,363088
224141,462919
350,383498
350,402900
350,466282
350,363088
350,462919
383498,387592
387592,402900
387592,466282
363088,387592
387592,462919
214756,383498
214756,402900
214756,466282
214756,363088
214756,462919
159824,383498
159824,402900
159824,466282
159824,363088
159824,462919
218746,383498
218746,402900
218746,466282
218746,363088
218746,462919
14160,383498
14160,402900
14160,466282
14160,363088
14160,462919
254470,383498
254470,402900
254470,466282
254470,363088
254470,462919
181533,383498
181533,402900
181533,466282
181533,363088
181533,462919
179144,383498
179144,402900
179144,466282
179144,363088
179144,462919
166426,383498
166426,402900
166426,466282
166426,363088
166426,462919
364689,383498
364689,402900
364689,466282
363088,364689
364689,462919
383498,446894
402900,446894
446894,466282
363088,446894
446894,462919
608,383498
608,402900
608,466282
608,363088
608,462919
2976,383498
2976,402900
2976,466282
2976,363088
2976,462919
260514,383498
260514,402900
260514,466282
260514,363088
260514,462919
383498,390043
390043,402900
390043,466282
363088,390043
390043,462919
383498,418827
402900,418827
418827,466282
363088,418827
418827,462919
72105,383498
72105,402900
72105,466282
72105,363088
72105,462919
787,383498
787,402900
787,466282
787,363088
787,462919
9880,383498
9880,402900
9880,466282
9880,363088
9880,462919
383498,452731
402900,452731
452731,466282
363088,452731
452731,462919
11631,383498
11631,402900
11631,466282
11631,363088
11631,462919
920,383498
920,402900
920,466282
920,363088
920,462919
227159,383498
227159,402900
227159,466282
227159,363088
227159,462919
383498,507562
402900,507562
466282,507562
363088,507562
462919,507562
383498,391713
391713,402900
391713,466282
363088,391713
391713,462919
818,383498
818,402900
818,466282
818,363088
818,462919
13053,383498
13053,402900
13053,466282
13053,363088
13053,462919
950,383498
950,402900
950,466282
950,363088
11130,383498
11130,402900
11130,466282
11130,363088
11130,462919
228967,383498
228967,402900
228967,466282
228967,363088
228967,462919
10193,383498
10193,402900
10193,466282
10193,363088
10193,462919
57800,383498
57800,402900
57800,466282
57800,363088
57800,462919
194,383498
194,402900
194,466282
194,363088
194,462919
77338,383498
77338,402900
77338,466282
77338,363088
77338,462919
71552,383498
71552,402900
71552,466282
71552,363088
71552,462919
100042,383498
100042,402900
100042,466282
100042,363088
100042,462919
41630,383498
41630,402900
41630,466282
41630,363088
41630,462919
370567,383498
370567,402900
370567,466282
363088,370567
370567,462919
62764,383498
62764,402900
62764,466282
62764,363088
62764,462919
127380,383498
127380,402900
127380,466282
127380,363088
127380,462919
225886,383498
225886,402900
225886,466282
225886,363088
225886,462919
383498,384677
384677,402900
384677,466282
363088,384677
384677,462919
