Source,Target
383498,3835
383498,4029
383498,4663
383498,3631
383498,456
402900,4029
402900,4663
402900,3631
402900,456
466282,4663
466282,3631
466282,456
363088,3631
363088,456
455980,456
454983,3835
454983,4029
454983,4663
454983,3631
454983,456
293660,3835
293660,4029
293660,4663
293660,3631
293660,456
283995,3835
283995,4029
283995,4663
283995,3631
283995,456
177572,3835
177572,4029
177572,4663
177572,3631
177572,456
808,383498
808,4029
808,466282
808,363088
808,45598
487558,3835
487558,4029
487558,4663
487558,3631
487558,456
449176,3835
449176,4029
449176,4663
449176,3631
449176,456
98566,3835
98566,4029
98566,46628
98566,36309
98566,45598
455207,3835
455207,4029
455207,4663
455207,3631
455207,456
445571,3835
445571,4029
445571,4663
445571,3631
445571,456
420814,3835
420814,4029
420814,4663
420814,3631
420814,456
812,383498
812,4029
812,466282
812,363088
812,45598
507562,3835
507562,4029
507562,4663
507562,3631
507562,456
291805,3835
291805,4029
291805,4663
291805,3631
291805,456
269149,3835
269149,4029
269149,4663
269149,3631
269149,456
150540,3835
150540,4029
150540,4663
150540,3631
150540,456
159824,3835
159824,4029
159824,4663
159824,3631
159824,456
13,383498
13,4029
13,466282
13,363088
13,45598
455656,3835
455656,4029
455656,4663
455656,3631
455656,456
399174,3835
399174,4029
399174,4663
399174,3631
399174,456
400155,3835
400155,4029
400155,4663
400155,3631
400155,456
20352,3835
20352,4029
20352,46628
20352,36309
20352,45598
181533,3835
181533,4029
181533,4663
181533,3631
181533,456
166426,3835
166426,4029
166426,4663
166426,3631
166426,456
194662,3835
194662,4029
194662,4663
194662,3631
194662,456
270946,3835
270946,4029
270946,4663
270946,3631
270946,456
454992,3835
454992,4029
454992,4663
454992,3631
454992,456
257344,3835
257344,4029
257344,4663
257344,3631
257344,456
862,383498
862,4029
862,466282
862,363088
862,45598
538604,3835
538604,4029
538604,4663
364689,3835
364689,4029
364689,4663
364689,3631
364689,456
207703,3835
207703,4029
207703,4663
207703,3631
207703,456
472918,3835
472918,4029
472918,4663
472918,3631
472918,456
437557,3835
437557,4029
437557,4663
437557,3631
437557,456
2105,383498
2105,4029
2105,466282
2105,363088
2105,45598
118,383498
118,4029
118,466282
118,363088
118,45598
105,383498
105,4029
105,466282
105,363088
105,45598
608,383498
608,4029
608,466282
608,363088
608,45598
353486,3835
353486,4029
353486,4663
353486,3631
353486,456
335797,3835
335797,4029
335797,4663
335797,3631
335797,456
460668,3835
460668,4029
460668,4663
460668,3631
460668,456
218746,3835
218746,4029
218746,4663
218746,3631
218746,456
2062,383498
2062,4029
2062,466282
2062,363088
2062,45598
585,383498
585,4029
585,466282
585,363088
585,45598
620,383498
620,4029
620,466282
620,363088
620,45598
278154,3835
278154,4029
278154,4663
278154,3631
278154,456
106646,3835
106646,4029
106646,4663
106646,3631
106646,456
454619,3835
454619,4029
454619,4663
454619,3631
454619,456
14160,3835
14160,4029
14160,46628
14160,36309
14160,45598
57800,3835
57800,4029
57800,46628
57800,36309
57800,45598
313369,3835
313369,4029
313369,4663
313369,3631
313369,456
87567,3835
87567,4029
87567,46628
87567,36309
87567,45598
412988,3835
412988,4029
412988,4663
412988,3631
412988,456
9737,383498
9737,4029
9737,466282
9737,363088
9737,45598
502682,3835
502682,4029
502682,4663
502682,3631
390043,3835
390043,4029
390043,4663
390043,3631
390043,456
503619,3835
503619,4029
503619,4663
503619,3631
503619,456
456086,3835
456086,4029
456086,4663
456086,3631
456086,456
391713,3835
391713,4029
391713,4663
391713,3631
391713,456
458423,3835
458423,4029
458423,4663
458423,3631
458423,456
64688,3835
64688,4029
64688,46628
64688,36309
64688,45598
9487,383498
9487,4029
9487,466282
9487,363088
9487,45598
260514,3835
260514,4029
260514,4663
260514,3631
260514,456
950,383498
950,4029
950,466282
950,363088
339846,3835
339846,4029
339846,4663
339846,3631
339846,456
77338,3835
77338,4029
77338,46628
77338,36309
77338,45598
425,383498
425,4029
425,466282
425,363088
425,45598
4951,383498
4951,4029
4951,466282
4951,363088
4951,45598
856,383498
856,4029
856,466282
856,363088
856,45598
310,383498
310,4029
310,466282
310,363088
310,45598
76492,3835
76492,4029
76492,46628
76492,36309
76492,45598
11631,3835
11631,4029
11631,46628
11631,36309
11631,45598
607,383498
607,4029
607,466282
607,363088
607,45598
370567,3835
370567,4029
370567,4663
370567,3631
370567,456
225886,3835
225886,4029
225886,4663
225886,3631
225886,456
920,383498
920,4029
920,466282
920,363088
920,45598
9502,383498
9502,4029
9502,466282
9502,363088
9502,45598
1593,383498
1593,4029
1593,466282
1593,363088
1593,45598
127380,3835
127380,4029
127380,4663
127380,3631
127380,456
115,383498
115,4029
115,466282
115,363088
115,45598
863,383498
863,4029
863,466282
863,363088
863,45598
8355,383498
8355,4029
8355,466282
8355,363088
8355,45598
82702,3835
82702,4029
82702,46628
82702,36309
82702,45598
18785,3835
18785,4029
18785,46628
18785,36309
18785,45598
418827,3835
418827,4029
418827,4663
418827,3631
418827,456
399796,3835
399796,4029
399796,4663
399796,3631
399796,456
340022,3835
340022,4029
340022,4663
340022,3631
340022,456
384677,3835
384677,4029
384677,4663
384677,3631
384677,456
10193,3835
10193,4029
10193,46628
10193,36309
10193,45598
140300,3835
140300,4029
140300,4663
140300,3631
140300,456
400579,3835
400579,4029
400579,4663
400579,3631
400579,456
50544,3835
50544,4029
50544,46628
50544,36309
50544,45598
376659,3835
376659,4029
376659,4663
376659,3631
376659,456
80295,3835
80295,4029
80295,46628
80295,36309
80295,45598
38055,3835
38055,4029
38055,46628
38055,36309
38055,45598
371638,3835
371638,4029
371638,4663
371638,3631
371638,456
43074,3835
43074,4029
43074,46628
43074,36309
43074,45598
136799,3835
136799,4029
136799,4663
136799,3631
136799,456
18360,3835
18360,4029
18360,46628
18360,36309
18360,45598
214756,3835
214756,4029
214756,4663
214756,3631
214756,456
62177,3835
62177,4029
62177,46628
62177,36309
62177,45598
637,383498
637,4029
637,466282
637,363088
637,45598
93456,3835
93456,4029
93456,46628
93456,36309
93456,45598
50124,3835
50124,4029
50124,46628
50124,36309
50124,45598
399170,3835
399170,4029
399170,4663
399170,3631
399170,456
854,383498
854,4029
854,466282
854,363088
854,45598
474335,3835
474335,4029
474335,4663
474335,3631
474335,456
120467,3835
120467,4029
120467,4663
120467,3631
120467,456
257445,3835
257445,4029
257445,4663
257445,3631
257445,456
137106,3835
137106,4029
137106,4663
137106,3631
137106,456
523849,3835
523849,4029
523849,4663
523849,3631
523849,456
809,383498
809,4029
809,466282
809,363088
809,45598
454283,3835
454283,4029
454283,4663
454283,3631
454283,456
12230,3835
12230,4029
12230,46628
12230,36309
12230,45598
511785,3835
511785,4029
511785,4663
511785,3631
511785,456
22970,3835
22970,4029
22970,46628
22970,36309
22970,45598
59436,3835
59436,4029
59436,46628
59436,36309
59436,45598
350,383498
350,4029
350,466282
350,363088
350,45598
927,383498
927,4029
927,466282
927,363088
927,45598
50646,3835
50646,4029
50646,46628
50646,36309
50646,45598
254470,3835
254470,4029
254470,4663
254470,3631
254470,456
41630,3835
41630,4029
41630,46628
41630,36309
41630,45598
41513,3835
41513,4029
41513,46628
41513,36309
41513,45598
193893,3835
193893,4029
193893,4663
193893,3631
193893,456
433310,3835
433310,4029
433310,4663
433310,3631
433310,456
338768,3835
338768,4029
338768,4663
338768,3631
338768,456
50022,3835
50022,4029
50022,46628
50022,36309
50022,45598
261392,3835
261392,4029
261392,4663
261392,3631
261392,456
271718,3835
271718,4029
271718,4663
271718,3631
271718,456
318846,3835
318846,4029
318846,4663
318846,3631
318846,456
320846,3835
320846,4029
320846,4663
320846,3631
320846,456
499572,3835
499572,4029
499572,4663
499572,3631
499572,456
1878,383498
1878,4029
1878,466282
1878,363088
1878,45598
37165,3835
37165,4029
37165,46628
37165,36309
37165,45598
164,383498
164,4029
164,466282
164,363088
164,45598
88751,3835
88751,4029
88751,46628
88751,36309
88751,45598
518452,3835
518452,4029
518452,4663
518452,3631
518452,456
49013,3835
49013,4029
49013,46628
49013,36309
49013,45598
817,383498
817,4029
817,466282
817,363088
817,45598
62213,3835
62213,4029
62213,46628
62213,36309
62213,45598
10386,3835
10386,4029
10386,46628
10386,36309
10386,45598
339404,3835
339404,4029
339404,4663
339404,3631
339404,456
228161,3835
228161,4029
228161,4663
228161,3631
228161,456
7443,383498
7443,4029
7443,466282
7443,363088
7443,45598
6957,383498
6957,4029
6957,466282
6957,363088
6957,45598
44896,3835
44896,4029
44896,46628
44896,36309
44896,45598
37834,3835
